400,65179,65157,380
317,65105,65229,447
220,65049,65329,499
121,65019,65433,527
15,64999,8,535
65438,65013,108,510
65348,65040,211,494
65238,65093,309,414
65163,65160,401,352
65087,65248,456,260
65048,65342,498,170
65011,65452,523,49
65010,21,524,65492
65028,126,509,65368
65061,234,466,65291
65124,315,409,65190
65198,401,332,65121
65286,464,236,65061
65381,498,133,65021
65499,526,30,65008
57,526,65451,65008
179,501,65361,65031
263,457,65247,65095
365,393,65166,65165
426,313,65098,65242
495,227,65045,65357
510,113,65012,65427
543,14,64998,35
520,65440,65014,117
496,65329,65045,237
446,65238,65094,313
377,65154,65168,409
291,65086,65260,454
197,65036,65359,522
84,65007,65468,521
65518,65000,34,544
65407,65024,150,507
65306,65052,246,471
65208,65121,338,404
65140,65185,411,327
65075,65285,468,227
65032,65367,516,138
65008,65503,526,10
65013,43,522,65462
65037,171,499,65333
65083,262,447,65254
65145,348,389,65159
65216,424,309,65092
65323,482,200,65041
65420,512,108,65015
65530,530,65519,65005
105,514,65420,65020
206,490,65315,65058
307,435,65222,65108
383,372,65141,65188
453,289,65075,65276
502,184,65032,65370
529,94,65008,65489
539,65503,64993,55
518,65407,65026,163
486,65298,65059,264
420,65207,65119,347
349,65135,65212,423
255,65061,65288,479
160,65028,65400,519
48,65000,65495,539
65481,65012,81,520
65369,65027,181,496
65279,65081,283,442
65178,65132,365,385
65116,65224,432,294
65060,65305,486,197
65022,65412,513,96
65012,65512,536,65526
65011,88,507,65414
65054,197,486,65314
65100,286,438,65221
65163,375,354,65132
65257,445,279,65077
65351,490,175,65034
65448,519,73,65009
27,532,65491,65006
133,506,65393,65023
238,483,65285,65073
321,417,65205,65133
407,347,65123,65212
465,266,65067,65304
511,152,65020,65402
532,70,65008,65511
536,65466,65009,79
511,65387,65036,196
469,65274,65075,272
412,65185,65147,383
321,65114,65221,431
240,65056,65321,499
127,65019,65420,521
29,65002,65528,525
65446,65010,99,527
65356,65034,204,480
65245,65092,300,434
65172,65156,380,360
65094,65240,453,270
65045,65333,492,172
65024,65444,534,70
65007,4,526,65497
65024,120,515,65388
65062,217,477,65286
65117,317,411,65200
65186,391,341,65116
65281,462,238,65056
65374,500,153,65029
65484,526,33,65001
54,527,65466,65014
166,507,65361,65042
262,466,65259,65081
354,394,65173,65156
428,322,65101,65227
480,225,65051,65335
525,130,65010,65435
539,19,64999,13
530,65456,65011,113
506,65344,65041,227
448,65246,65101,305
388,65165,65164,403
302,65086,65252,451
202,65043,65350,508
97,65011,65457,527
65533,65010,28,530
65414,65014,133,508
65316,65054,231,472
65228,65104,327,404
65142,65181,402,331
65085,65267,468,245
65042,65370,509,135
65012,65470,529,35
65016,52,524,65459
65038,146,502,65354
65074,254,459,65265
65141,340,386,65171
65210,415,316,65104
65313,476,212,65047
65408,512,116,65018
65518,528,3,65009
86,524,65439,65015
189,496,65338,65054
289,446,65234,65100
367,381,65157,65175
450,295,65083,65257
489,207,65046,65355
532,96,65008,65468
